date,sales,guest_count,meal_period,promotions_active
2024-01-01,0.0,0,All Day,False
2024-01-02,4166.02,124,All Day,True
2024-01-03,4140.42,111,All Day,True
2024-01-04,4485.76,136,All Day,False
2024-01-05,5962.75,173,All Day,False
2024-01-06,4847.8,152,All Day,False
2024-01-07,5006.54,136,All Day,False
2024-01-08,4176.73,127,All Day,False
2024-01-09,4298.16,131,All Day,False
2024-01-10,4167.56,123,All Day,True
2024-01-11,3912.26,110,All Day,False
2024-01-12,5214.47,166,All Day,False
2024-01-13,5879.13,166,All Day,False
2024-01-14,5005.92,148,All Day,False
2024-01-15,4197.2,127,All Day,False
2024-01-16,4671.75,135,All Day,True
2024-01-17,4181.21,128,All Day,True
2024-01-18,4532.17,126,All Day,False
2024-01-19,6277.13,194,All Day,False
2024-01-20,5706.03,173,All Day,False
2024-01-21,4917.36,138,All Day,False
2024-01-22,4818.57,139,All Day,False
2024-01-23,4128.72,122,All Day,False
2024-01-24,4905.55,144,All Day,False
2024-01-25,4261.78,127,All Day,False
2024-01-26,6071.61,187,All Day,False
2024-01-27,5674.2,158,All Day,False
2024-01-28,5175.56,151,All Day,False
2024-01-29,4731.68,145,All Day,False
2024-01-30,4282.29,124,All Day,True
2024-01-31,4495.66,144,All Day,False
2024-02-01,4261.38,127,All Day,False
2024-02-02,6154.05,178,All Day,False
2024-02-03,5933.88,197,All Day,False
2024-02-04,5081.09,149,All Day,True
2024-02-05,5307.29,158,All Day,False
2024-02-06,4546.52,125,All Day,False
2024-02-07,4712.59,128,All Day,False
2024-02-08,3951.73,123,All Day,True
2024-02-09,5743.76,186,All Day,False
2024-02-10,6056.9,188,All Day,False
2024-02-11,5774.84,178,All Day,False
2024-02-12,4357.84,122,All Day,False
2024-02-13,4037.49,131,All Day,False
2024-02-14,4550.03,132,All Day,False
2024-02-15,4769.83,136,All Day,False
2024-02-16,6211.37,190,All Day,False
2024-02-17,6186.99,179,All Day,True
2024-02-18,4884.02,129,All Day,False
2024-02-19,4680.3,146,All Day,False
2024-02-20,4798.5,134,All Day,False
2024-02-21,4668.3,139,All Day,False
2024-02-22,4251.03,126,All Day,False
2024-02-23,6280.29,185,All Day,False
2024-02-24,6831.24,194,All Day,False
2024-02-25,4860.37,153,All Day,False
2024-02-26,4717.29,141,All Day,True
2024-02-27,4806.01,138,All Day,False
2024-02-28,4524.07,140,All Day,False
2024-02-29,4002.77,116,All Day,False
2024-03-01,5541.09,172,All Day,False
2024-03-02,6235.58,183,All Day,False
2024-03-03,4771.55,132,All Day,False
2024-03-04,4955.89,141,All Day,False
2024-03-05,4762.33,136,All Day,False
2024-03-06,5988.97,167,All Day,False
2024-03-07,4820.26,149,All Day,False
2024-03-08,7894.19,204,All Day,False
2024-03-09,6849.66,207,All Day,False
2024-03-10,7462.5,229,All Day,False
2024-03-11,6298.02,185,All Day,False
2024-03-12,5665.7,189,All Day,False
2024-03-13,6070.4,187,All Day,True
2024-03-14,5930.02,169,All Day,False
2024-03-15,8644.55,262,All Day,False
2024-03-16,7666.56,244,All Day,False
2024-03-17,7401.12,194,All Day,False
2024-03-18,4995.59,137,All Day,True
2024-03-19,4355.49,125,All Day,False
2024-03-20,4905.43,178,All Day,False
2024-03-21,4242.67,114,All Day,False
2024-03-22,5527.62,150,All Day,False
2024-03-23,5527.18,173,All Day,True
2024-03-24,5518.3,162,All Day,False
2024-03-25,4486.57,121,All Day,False
2024-03-26,4172.4,124,All Day,False
2024-03-27,4850.64,140,All Day,True
2024-03-28,4403.27,134,All Day,False
2024-03-29,6683.31,187,All Day,False
2024-03-30,6413.63,198,All Day,False
2024-03-31,5094.74,150,All Day,False
2024-04-01,4682.71,133,All Day,False
2024-04-02,4565.12,128,All Day,False
2024-04-03,4943.12,135,All Day,False
2024-04-04,4649.68,134,All Day,False
2024-04-05,6202.23,192,All Day,False
2024-04-06,7317.55,201,All Day,False
2024-04-07,5678.44,167,All Day,True
2024-04-08,4310.72,120,All Day,False
2024-04-09,4589.73,132,All Day,False
2024-04-10,4435.1,129,All Day,True
2024-04-11,4456.29,135,All Day,False
2024-04-12,6386.67,205,All Day,False
2024-04-13,5564.12,171,All Day,False
2024-04-14,5249.77,147,All Day,False
2024-04-15,4584.59,135,All Day,True
2024-04-16,4536.37,131,All Day,False
2024-04-17,4335.82,128,All Day,False
2024-04-18,4791.68,139,All Day,True
2024-04-19,6272.72,184,All Day,False
2024-04-20,6514.93,170,All Day,False
2024-04-21,5008.52,130,All Day,False
2024-04-22,4339.1,146,All Day,False
2024-04-23,4442.91,128,All Day,False
2024-04-24,5332.75,166,All Day,False
2024-04-25,4817.93,154,All Day,False
2024-04-26,7172.69,197,All Day,False
2024-04-27,6019.34,197,All Day,False
2024-04-28,5902.58,175,All Day,False
2024-04-29,5087.86,150,All Day,False
2024-04-30,4645.07,140,All Day,False
2024-05-01,4856.33,142,All Day,False
2024-05-02,4814.2,156,All Day,False
2024-05-03,6877.32,185,All Day,False
2024-05-04,6294.41,165,All Day,False
2024-05-05,6055.92,172,All Day,False
2024-05-06,5120.63,142,All Day,False
2024-05-07,3963.9,118,All Day,False
2024-05-08,4875.14,131,All Day,False
2024-05-09,4099.19,134,All Day,False
2024-05-10,6189.56,207,All Day,False
2024-05-11,6169.24,178,All Day,False
2024-05-12,4892.07,144,All Day,False
2024-05-13,4948.24,150,All Day,False
2024-05-14,4302.64,127,All Day,False
2024-05-15,4210.8,111,All Day,True
2024-05-16,4600.88,141,All Day,False
2024-05-17,6295.39,186,All Day,False
2024-05-18,6075.73,184,All Day,False
2024-05-19,5022.42,162,All Day,False
2024-05-20,5075.1,144,All Day,False
2024-05-21,4685.21,139,All Day,False
2024-05-22,4218.68,130,All Day,True
2024-05-23,4044.95,124,All Day,False
2024-05-24,5624.13,150,All Day,False
2024-05-25,6585.72,193,All Day,False
2024-05-26,4875.31,153,All Day,False
2024-05-27,4480.01,125,All Day,False
2024-05-28,5239.7,168,All Day,False
2024-05-29,4745.95,145,All Day,False
2024-05-30,4360.58,128,All Day,False
2024-05-31,5713.16,170,All Day,False
2024-06-01,5670.48,173,All Day,False
2024-06-02,5518.24,161,All Day,False
2024-06-03,4792.53,147,All Day,False
2024-06-04,4722.67,154,All Day,False
2024-06-05,4529.53,128,All Day,False
2024-06-06,3908.61,120,All Day,False
2024-06-07,6102.6,169,All Day,False
2024-06-08,5793.22,165,All Day,False
